method,resolution,gesture,accuracy(%),unknown_rate(%),avg_latency_ms,fps
MediaPipe,640x480,ONE,0.0,0.0,20.196452140808105,29.311898202697282
MediaPipe,640x480,TWO,0.0,0.0,20.196452140808105,29.240315805984977
MediaPipe,640x480,THREE,6.0,0.0,20.196452140808105,29.183089952129006
MediaPipe,640x480,FOUR,0.0,0.0,20.196452140808105,29.23932106672147
MediaPipe,640x480,FIVE,10.0,0.0,20.196452140808105,29.220437943186322
MediaPipe,1280x720,ONE,0.0,0.0,20.29391860961914,29.344689758717937
MediaPipe,1280x720,TWO,0.0,0.0,20.29391860961914,29.25255990167835
MediaPipe,1280x720,THREE,2.0,0.0,20.29391860961914,29.302498775657913
MediaPipe,1280x720,FOUR,6.0,0.0,20.29391860961914,29.205011422829923
MediaPipe,1280x720,FIVE,8.0,0.0,20.29391860961914,28.143567688158054
MediaPipe,1920x1080,ONE,0.0,0.0,20.297146797180176,29.345116798952663
MediaPipe,1920x1080,TWO,0.0,0.0,20.297146797180176,29.565526810478833
MediaPipe,1920x1080,THREE,0.0,0.0,20.297146797180176,29.152157673245373
MediaPipe,1920x1080,FOUR,2.0,0.0,20.297146797180176,29.119879674325322
MediaPipe,1920x1080,FIVE,2.0,0.0,20.297146797180176,29.10245486462858
YOLOv8_pose,640x480,ONE,2.0,0.0,63.192453384399414,10.017631090333184
YOLOv8_pose,640x480,TWO,64.0,0.0,63.192453384399414,10.226049032716109
YOLOv8_pose,640x480,THREE,0.0,0.0,63.192453384399414,10.50567403040834
YOLOv8_pose,640x480,FOUR,0.0,0.0,63.192453384399414,10.439597145382832
YOLOv8_pose,640x480,FIVE,0.0,0.0,63.192453384399414,11.290148049034777
YOLOv8_pose,1280x720,ONE,94.0,0.0,53.34354782104492,14.21269350260642
YOLOv8_pose,1280x720,TWO,0.0,0.0,53.34354782104492,14.841639437145613
YOLOv8_pose,1280x720,THREE,0.0,0.0,53.34354782104492,14.812808838276123
YOLOv8_pose,1280x720,FOUR,0.0,0.0,53.34354782104492,14.849991262011901
YOLOv8_pose,1280x720,FIVE,0.0,0.0,53.34354782104492,14.818186539462308
YOLOv8_pose,1920x1080,ONE,100.0,0.0,56.16721439361572,14.537719806419023
YOLOv8_pose,1920x1080,TWO,0.0,0.0,56.16721439361572,14.663375465748677
YOLOv8_pose,1920x1080,THREE,0.0,0.0,56.16721439361572,14.099671468521924
YOLOv8_pose,1920x1080,FOUR,0.0,0.0,56.16721439361572,14.651357887518143
YOLOv8_pose,1920x1080,FIVE,0.0,0.0,56.16721439361572,12.800367198033635
OpenCV,640x480,ONE,0.0,0.0,3.148463249206543,29.958270026016237
OpenCV,640x480,TWO,46.0,0.0,3.148463249206543,29.943076583041538
OpenCV,640x480,THREE,0.0,0.0,3.148463249206543,29.83019641127639
OpenCV,640x480,FOUR,0.0,0.0,3.148463249206543,29.818574872114315
OpenCV,640x480,FIVE,0.0,0.0,3.148463249206543,29.90779170568873
OpenCV,1280x720,ONE,0.0,0.0,5.6434478759765625,29.841873723238887
OpenCV,1280x720,TWO,2.0,0.0,5.6434478759765625,29.815785354416036
OpenCV,1280x720,THREE,98.0,0.0,5.6434478759765625,29.89886731852974
OpenCV,1280x720,FOUR,0.0,0.0,5.6434478759765625,29.845470868904197
OpenCV,1280x720,FIVE,0.0,0.0,5.6434478759765625,29.6534222899804
OpenCV,1920x1080,ONE,64.0,0.0,7.207475662231445,29.87364520658899
OpenCV,1920x1080,TWO,0.0,0.0,7.207475662231445,30.101902698525386
OpenCV,1920x1080,THREE,0.0,0.0,7.207475662231445,29.96550858441738
OpenCV,1920x1080,FOUR,0.0,0.0,7.207475662231445,30.262645427302257
OpenCV,1920x1080,FIVE,0.0,0.0,7.207475662231445,30.257772632421545
